Keyld,MyPN,Name,Description,Value,Value2,Symbol,Footprint,Footprint_Filter,Coil_Voltage,Coil_Resistance,Coil_Power,Contact_Form,Contact_Current,Contact_Voltage,Contact_Resistance,Switching_Power,Isolation_Voltage,Operate_Time,Release_Time,Mechanical_Life,Electrical_Life,Type,Mount,,Dimensions,Height,Termination,MinTemp,MaxTemp,Operating_Temp,Sealing,Flux_Proof,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
296,EL-REL-000296,SolidStateRelay_MOSFET_NC_60V_150mA_Littelfuse_CPC1117N,"Littelfuse CPC1117N - Photo MOSFET solid state relay, 1 Form B (NC), 60V load voltage, 150mA load current, 16Ω on-resistance, SOP-4",CPC1117N,60V 150mA NC MOSFET,Relay_SolidState:CPC1117N,Package_SO:SOP-4_3.8x4.1mm_P2.54mm,SOP*3.8x4.1mm*P2.54mm*,1.2V DC,,0.05W,SPST-NC (1 Form B),0.15A,60V,16Ω,,,2ms,0.5ms,,,Solid State (MOSFET),Surface Mount,SOP-4,4.1 x 3.8 x 2.0mm,2.0mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1117n-datasheet?assetguid=b6b0537a-0143-41a4-a4c0-1f9a706a4d7a,1,1,Littelfuse,CPC1117N,CPC1000,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,MOSFET Output Photorelay 1-Form-B NC,,2024-01-15,,2024-01-15,1,,
297,EL-REL-000297,SolidStateRelay_MOSFET_NC_400V_100mA_Littelfuse_CPC1125N,"Littelfuse CPC1125N - Photo MOSFET solid state relay, 1 Form B (NC), 400V load voltage, 100mA load current, 35Ω on-resistance, SOP-4",CPC1125N,400V 100mA NC MOSFET,Relay_SolidState:CPC1125N,Package_SO:SOP-4_3.8x4.1mm_P2.54mm,SOP*3.8x4.1mm*P2.54mm*,1.2V DC,,0.05W,SPST-NC (1 Form B),0.1A,400V,35Ω,,,2ms,0.5ms,,,Solid State (MOSFET),Surface Mount,SOP-4,4.1 x 3.8 x 2.0mm,2.0mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1125n-datasheet?assetguid=3df1af1c-e64d-4dc9-bd80-e20ab839a1e0,1,1,Littelfuse,CPC1125N,CPC1000,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,MOSFET Output Photorelay 1-Form-B NC,,2024-01-15,,2024-01-15,1,,
298,EL-REL-000298,SolidStateRelay_MOSFET_NC_350V_120mA_Littelfuse_CPC1130N,"Littelfuse CPC1130N - Photo MOSFET solid state relay, 1 Form B (NC), 350V load voltage, 120mA load current, 30Ω on-resistance, SOP-4",CPC1130N,350V 120mA NC MOSFET,Relay_SolidState:CPC1130N,Package_SO:SOP-4_3.8x4.1mm_P2.54mm,SOP*3.8x4.1mm*P2.54mm*,1.2V DC,,0.05W,SPST-NC (1 Form B),0.12A,350V,30Ω,,,2ms,0.5ms,,,Solid State (MOSFET),Surface Mount,SOP-4,4.1 x 3.8 x 2.0mm,2.0mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1130n-datasheet?assetguid=f3fbc846-6487-49f7-a3e5-cf8ba50cc255,1,1,Littelfuse,CPC1130N,CPC1000,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,MOSFET Output Photorelay 1-Form-B NC,,2024-01-15,,2024-01-15,1,,
299,EL-REL-000299,SolidStateRelay_MOSFET_NC_350V_120mA_35R_Littelfuse_CPC1135N,"Littelfuse CPC1135N - Photo MOSFET solid state relay, 1 Form B (NC), 350V load voltage, 120mA load current, 35Ω on-resistance, SOP-4",CPC1135N,350V 120mA NC 35R,Relay_SolidState:CPC1135N,Package_SO:SOP-4_3.8x4.1mm_P2.54mm,SOP*3.8x4.1mm*P2.54mm*,1.2V DC,,0.05W,SPST-NC (1 Form B),0.12A,350V,35Ω,,,2ms,0.5ms,,,Solid State (MOSFET),Surface Mount,SOP-4,4.1 x 3.8 x 2.0mm,2.0mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1135n-datasheet?assetguid=75801530-da77-442e-93b8-e268f3ce6762,1,1,Littelfuse,CPC1135N,CPC1000,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,MOSFET Output Photorelay 1-Form-B NC,,2024-01-15,,2024-01-15,1,,
300,EL-REL-000300,SolidStateRelay_MOSFET_NC_350V_120mA_50R_Littelfuse_CPC1150N,"Littelfuse CPC1150N - Photo MOSFET solid state relay, 1 Form B (NC), 350V load voltage, 120mA load current, 50Ω on-resistance, SOP-4",CPC1150N,350V 120mA NC 50R,Relay_SolidState:CPC1150N,Package_SO:SOP-4_3.8x4.1mm_P2.54mm,SOP*3.8x4.1mm*P2.54mm*,1.2V DC,,0.05W,SPST-NC (1 Form B),0.12A,350V,50Ω,,,2ms,0.5ms,,,Solid State (MOSFET),Surface Mount,SOP-4,4.1 x 3.8 x 2.0mm,2.0mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1150n-datasheet?assetguid=7f3e9a05-5c4a-493e-bfe5-2075df32c7f9,1,1,Littelfuse,CPC1150N,CPC1000,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,MOSFET Output Photorelay 1-Form-B NC,,2024-01-15,,2024-01-15,1,,
301,EL-REL-000301,SolidStateRelay_MOSFET_DualNC_400V_100mA_Littelfuse_CPC2125N,"Littelfuse CPC2125N - Dual Form B (NC) Photo MOSFET solid state relay, 400V load voltage, 100mA per channel, 35Ω on-resistance, SOIC-8 package",CPC2125N,Dual NC 400V 100mA,Relay_SolidState:CPC2125N,Package_SO:SOIC-8_3.81x9.347mm_P2.54mm,SOIC*3.81x9.347mm*P2.54mm*,1.2V DC,,0.1W,DPST-NC (2 Form B),0.1A,400V,35Ω,,,2ms,0.5ms,,,Solid State (MOSFET),Surface Mount,SOIC-8,9.347 x 3.81 x 2.0mm,2.0mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc2125n-datasheet?assetguid=a22cc393-173e-4525-944b-0453a5a13b51,1,1,Littelfuse,CPC2125N,CPC2000,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,MOSFET Output Photorelay 1-Form-B NC dual,,2024-01-15,,2024-01-15,1,,
302,EL-REL-000302,SolidStateRelay_Triac_600V_300mA_RandomPhase_OnSemi_FOD420,"On Semiconductor FOD420 - Random phase Opto-Triac, 600V Vdrm, 300mA IT, 0.75mA Ift, DIP-6 package, for industrial control",FOD420,600V 300mA Random,Relay_SolidState:FOD420,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm*,,,0.1W,SPST-NO (1 Form A),0.3A,600V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/FOD4218-D.PDF,1,1,On Semiconductor,FOD420,FOD42,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase,,2024-01-15,,2024-01-15,1,,
303,EL-REL-000303,SolidStateRelay_Triac_800V_300mA_RandomPhase_OnSemi_FOD4208,"On Semiconductor FOD4208 - Random phase Opto-Triac, 800V Vdrm, 300mA IT, 0.75mA Ift, DIP-6 package, high voltage",FOD4208,800V 300mA Random,Relay_SolidState:FOD4208,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm*,,,0.1W,SPST-NO (1 Form A),0.3A,800V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/FOD4218-D.PDF,1,1,On Semiconductor,FOD4208,FOD42,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase high voltage,,2024-01-15,,2024-01-15,1,,
304,EL-REL-000304,SolidStateRelay_Triac_600V_300mA_RandomPhase_OnSemi_FOD4216,"On Semiconductor FOD4216 - Random phase Opto-Triac, 600V Vdrm, 300mA IT, 0.75mA Ift, DIP-6 package",FOD4216,600V 300mA Random,Relay_SolidState:FOD4216,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm*,,,0.1W,SPST-NO (1 Form A),0.3A,600V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/FOD4218-D.PDF,1,1,On Semiconductor,FOD4216,FOD42,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase,,2024-01-15,,2024-01-15,1,,
305,EL-REL-000305,SolidStateRelay_Triac_800V_300mA_RandomPhase_OnSemi_FOD4218,"On Semiconductor FOD4218 - Random phase Opto-Triac, 800V Vdrm, 300mA IT, 0.75mA Ift, DIP-6 package",FOD4218,800V 300mA Random,Relay_SolidState:FOD4218,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm*,,,0.1W,SPST-NO (1 Form A),0.3A,800V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/FOD4218-D.PDF,1,1,On Semiconductor,FOD4218,FOD42,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase,,2024-01-15,,2024-01-15,1,,
306,EL-REL-000306,SolidStateRelay_Triac_250V_100mA_RandomPhase_MiniFlat_OnSemi_FODM3011,"On Semiconductor FODM3011 - Mini-flat random phase Opto-Triac, 250V Vdrm, 100mA IT, 10mA Ift, SMDIP-4 package",FODM3011,250V 100mA Random,Relay_SolidState:FODM3011,Package_DIP:SMDIP-4_W7.62mm,SMDIP*W7.62mm*,,,0.1W,SPST-NO (1 Form A),0.1A,250V AC,,,,60µs,60µs,,,Solid State (Triac),Surface Mount,SMDIP-4,7.62 x 6.5 x 3.5mm,3.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/FODM3053_NF098-D.PDF,1,1,On Semiconductor,FODM3011,FODM,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase Mini-Flat,,2024-01-15,,2024-01-15,1,,
307,EL-REL-000307,SolidStateRelay_Triac_250V_100mA_RandomPhase_5mA_OnSemi_FODM3012,"On Semiconductor FODM3012 - Mini-flat random phase Opto-Triac, 250V Vdrm, 100mA IT, 5mA Ift, SMDIP-4",FODM3012,250V 100mA Random 5mA,Relay_SolidState:FODM3012,Package_DIP:SMDIP-4_W7.62mm,SMDIP*W7.62mm*,,,0.1W,SPST-NO (1 Form A),0.1A,250V AC,,,,60µs,60µs,,,Solid State (Triac),Surface Mount,SMDIP-4,7.62 x 6.5 x 3.5mm,3.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/FODM3053_NF098-D.PDF,1,1,On Semiconductor,FODM3012,FODM,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase Mini-Flat,,2024-01-15,,2024-01-15,1,,
308,EL-REL-000308,SolidStateRelay_Triac_400V_100mA_RandomPhase_OnSemi_FODM3022,"On Semiconductor FODM3022 - Mini-flat random phase Opto-Triac, 400V Vdrm, 100mA IT, 10mA Ift, SMDIP-4",FODM3022,400V 100mA Random,Relay_SolidState:FODM3022,Package_DIP:SMDIP-4_W7.62mm,SMDIP*W7.62mm*,,,0.1W,SPST-NO (1 Form A),0.1A,400V AC,,,,60µs,60µs,,,Solid State (Triac),Surface Mount,SMDIP-4,7.62 x 6.5 x 3.5mm,3.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/FODM3053_NF098-D.PDF,1,1,On Semiconductor,FODM3022,FODM,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase Mini-Flat,,2024-01-15,,2024-01-15,1,,
309,EL-REL-000309,SolidStateRelay_Triac_400V_100mA_RandomPhase_5mA_OnSemi_FODM3023,"On Semiconductor FODM3023 - Mini-flat random phase Opto-Triac, 400V Vdrm, 100mA IT, 5mA Ift, SMDIP-4",FODM3023,400V 100mA Random 5mA,Relay_SolidState:FODM3023,Package_DIP:SMDIP-4_W7.62mm,SMDIP*W7.62mm*,,,0.1W,SPST-NO (1 Form A),0.1A,400V AC,,,,60µs,60µs,,,Solid State (Triac),Surface Mount,SMDIP-4,7.62 x 6.5 x 3.5mm,3.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/FODM3053_NF098-D.PDF,1,1,On Semiconductor,FODM3023,FODM,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase Mini-Flat,,2024-01-15,,2024-01-15,1,,
310,EL-REL-000310,SolidStateRelay_Triac_600V_100mA_RandomPhase_OnSemi_FODM3052,"On Semiconductor FODM3052 - Mini-flat random phase Opto-Triac, 600V Vdrm, 100mA IT, 10mA Ift, SMDIP-4",FODM3052,600V 100mA Random,Relay_SolidState:FODM3052,Package_DIP:SMDIP-4_W7.62mm,SMDIP*W7.62mm*,,,0.1W,SPST-NO (1 Form A),0.1A,600V AC,,,,60µs,60µs,,,Solid State (Triac),Surface Mount,SMDIP-4,7.62 x 6.5 x 3.5mm,3.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/FODM3053_NF098-D.PDF,1,1,On Semiconductor,FODM3052,FODM,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase Mini-Flat,,2024-01-15,,2024-01-15,1,,
311,EL-REL-000311,SolidStateRelay_Triac_600V_100mA_RandomPhase_5mA_OnSemi_FODM3053,"On Semiconductor FODM3053 - Mini-flat random phase Opto-Triac, 600V Vdrm, 100mA IT, 5mA Ift, SMDIP-4",FODM3053,600V 100mA Random 5mA,Relay_SolidState:FODM3053,Package_DIP:SMDIP-4_W7.62mm,SMDIP*W7.62mm*,,,0.1W,SPST-NO (1 Form A),0.1A,600V AC,,,,60µs,60µs,,,Solid State (Triac),Surface Mount,SMDIP-4,7.62 x 6.5 x 3.5mm,3.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/FODM3053_NF098-D.PDF,1,1,On Semiconductor,FODM3053,FODM,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase Mini-Flat,,2024-01-15,,2024-01-15,1,,
312,EL-REL-000312,SolidStateRelay_Triac_240V_4A_ZeroCross_NCR_HHG1D1,"NCR HHG1D-1 Series - Zero cross solid state relay, 240V AC, 1-4A output, panel mount, ideal for industrial heating control",HHG1D-1,SSR 240V 4A,Relay_SolidState:HHG1D-1,Relay_THT:Relay_NCR_HHG1D-1,Relay*HHG1D*,5V DC,,0.5W,SPST-NO (1 Form A),4A,240V AC,,,,10ms,10ms,,,Solid State (Triac),Panel Mount,Module,58.0 x 45.0 x 22.0mm,22.0mm,Screw Terminal,-30°C,80°C,-30°C to 80°C,,,https://ncr.hk/uploads/Relays/Solid_State_Relays/HHG1D-1.pdf,1,1,NCR,HHG1D-1/5V-24V,HHG1D,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,ssr solid state relay power,,2024-01-15,,2024-01-15,1,,
313,EL-REL-000313,SolidStateRelay_MOSFET_DualNO_350V_120mA_IXYS_LAA110,"IXYS LAA110 - Dual Form A (NO) OptoMOS relay, 350V load voltage, 120mA per channel, DIP-8 package",LAA110,Dual NO 350V 120mA,Relay_SolidState:LAA110,Package_DIP:DIP-8_W7.62mm,DIP*W7.62mm*,1.2V DC,,0.1W,DPST-NO (2 Form A),0.12A,350V,35Ω,,,2ms,0.5ms,,,Solid State (MOSFET),Through Hole,DIP-8,9.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://www.clare.com/home/pdfs.nsf/www/LAA110.pdf/$file/LAA110.pdf,1,1,IXYS,LAA110,LAA,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Dual MOSFET Output Photorelay 1-Form-A,,2024-01-15,,2024-01-15,1,,
314,EL-REL-000314,SolidStateRelay_MOSFET_DualNC_350V_120mA_IXYS_LBB110,"IXYS LBB110 - Dual Form B (NC) OptoMOS relay, 350V load voltage, 120mA per channel, DIP-8 package",LBB110,Dual NC 350V 120mA,Relay_SolidState:LBB110,Package_DIP:DIP-8_W7.62mm,DIP*W7.62mm*,1.2V DC,,0.1W,DPST-NC (2 Form B),0.12A,350V,35Ω,,,2ms,0.5ms,,,Solid State (MOSFET),Through Hole,DIP-8,9.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://www.ixysic.com/home/pdfs.nsf/www/LBB110.pdf/$file/LBB110.pdf,1,1,IXYS,LBB110,LBB,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Dual MOSFET Output Photorelay 1-Form-B,,2024-01-15,,2024-01-15,1,,
315,EL-REL-000315,SolidStateRelay_MOSFET_SPDT_350V_120mA_IXYS_LCC110,"IXYS LCC110 - Form C (SPDT) OptoMOS relay, 350V load voltage, 120mA switching, DIP-8 package",LCC110,SPDT 350V 120mA,Relay_SolidState:LCC110,Package_DIP:DIP-8_W7.62mm,DIP*W7.62mm*,1.2V DC,,0.1W,SPDT (1 Form C),0.12A,350V,35Ω,,,2ms,0.5ms,,,Solid State (MOSFET),Through Hole,DIP-8,9.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://www.ixysic.com/home/pdfs.nsf/www/LCC110.pdf/$file/LCC110.pdf,1,1,IXYS,LCC110,LCC,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,MOSFET Output Photorelay 1-Form-C,,2024-01-15,,2024-01-15,1,,
316,EL-REL-000316,SolidStateRelay_Triac_250V_100mA_RandomPhase_OnSemi_MOC3010M,"On Semiconductor MOC3010M - Random phase Opto-Triac, 250V Vdrm, 100mA IT, 15mA Ift, DIP-6 package",MOC3010M,250V 100mA Random,Relay_SolidState:MOC3010M,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm* SMDIP*W9.53mm* DIP*W10.16mm*,,,0.1W,SPST-NO (1 Form A),0.1A,250V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF,1,1,On Semiconductor,MOC3010M,MOC30xx,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase,,2024-01-15,,2024-01-15,1,,
317,EL-REL-000317,SolidStateRelay_Triac_250V_100mA_RandomPhase_10mA_OnSemi_MOC3011M,"On Semiconductor MOC3011M - Random phase Opto-Triac, 250V Vdrm, 100mA IT, 10mA Ift, DIP-6",MOC3011M,250V 100mA Random 10mA,Relay_SolidState:MOC3011M,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm* SMDIP*W9.53mm* DIP*W10.16mm*,,,0.1W,SPST-NO (1 Form A),0.1A,250V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF,1,1,On Semiconductor,MOC3011M,MOC30xx,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase,,2024-01-15,,2024-01-15,1,,
318,EL-REL-000318,SolidStateRelay_Triac_250V_100mA_RandomPhase_5mA_OnSemi_MOC3012M,"On Semiconductor MOC3012M - Random phase Opto-Triac, 250V Vdrm, 100mA IT, 5mA Ift, DIP-6",MOC3012M,250V 100mA Random 5mA,Relay_SolidState:MOC3012M,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm* SMDIP*W9.53mm* DIP*W10.16mm*,,,0.1W,SPST-NO (1 Form A),0.1A,250V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF,1,1,On Semiconductor,MOC3012M,MOC30xx,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase,,2024-01-15,,2024-01-15,1,,
319,EL-REL-000319,SolidStateRelay_Triac_400V_100mA_RandomPhase_30mA_OnSemi_MOC3020M,"On Semiconductor MOC3020M - Random phase Opto-Triac, 400V Vdrm, 100mA IT, 30mA Ift, DIP-6",MOC3020M,400V 100mA Random,Relay_SolidState:MOC3020M,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm* SMDIP*W9.53mm* DIP*W10.16mm*,,,0.1W,SPST-NO (1 Form A),0.1A,400V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF,1,1,On Semiconductor,MOC3020M,MOC30xx,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase,,2024-01-15,,2024-01-15,1,,
320,EL-REL-000320,SolidStateRelay_Triac_400V_100mA_RandomPhase_15mA_OnSemi_MOC3021M,"On Semiconductor MOC3021M - Random phase Opto-Triac, 400V Vdrm, 100mA IT, 15mA Ift, DIP-6",MOC3021M,400V 100mA Random,Relay_SolidState:MOC3021M,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm* SMDIP*W9.53mm* DIP*W10.16mm*,,,0.1W,SPST-NO (1 Form A),0.1A,400V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF,1,1,On Semiconductor,MOC3021M,MOC30xx,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase,,2024-01-15,,2024-01-15,1,,
321,EL-REL-000321,SolidStateRelay_Triac_400V_100mA_RandomPhase_10mA_OnSemi_MOC3022M,"On Semiconductor MOC3022M - Random phase Opto-Triac, 400V Vdrm, 100mA IT, 10mA Ift, DIP-6",MOC3022M,400V 100mA Random,Relay_SolidState:MOC3022M,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm* SMDIP*W9.53mm* DIP*W10.16mm*,,,0.1W,SPST-NO (1 Form A),0.1A,400V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF,1,1,On Semiconductor,MOC3022M,MOC30xx,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase,,2024-01-15,,2024-01-15,1,,
322,EL-REL-000322,SolidStateRelay_Triac_400V_100mA_RandomPhase_5mA_OnSemi_MOC3023M,"On Semiconductor MOC3023M - Random phase Opto-Triac, 400V Vdrm, 100mA IT, 5mA Ift, DIP-6",MOC3023M,400V 100mA Random,Relay_SolidState:MOC3023M,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm* SMDIP*W9.53mm* DIP*W10.16mm*,,,0.1W,SPST-NO (1 Form A),0.1A,400V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF,1,1,On Semiconductor,MOC3023M,MOC30xx,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Random Phase,,2024-01-15,,2024-01-15,1,,
323,EL-REL-000323,SolidStateRelay_Triac_250V_100mA_ZeroCross_OnSemi_MOC3031M,"On Semiconductor MOC3031M - Zero cross Opto-Triac, 250V Vdrm, 100mA IT, 15mA Ift, DIP-6",MOC3031M,250V 100mA Zero,Relay_SolidState:MOC3031M,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm* SMDIP*W9.53mm* DIP*W10.16mm*,,,0.1W,SPST-NO (1 Form A),0.1A,250V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/MOC3043M-D.pdf,1,1,On Semiconductor,MOC3031M,MOC30xx,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Zero Cross,,2024-01-15,,2024-01-15,1,,
324,EL-REL-000324,SolidStateRelay_Triac_250V_100mA_ZeroCross_10mA_OnSemi_MOC3032M,"On Semiconductor MOC3032M - Zero cross Opto-Triac, 250V Vdrm, 100mA IT, 10mA Ift, DIP-6",MOC3032M,250V 100mA Zero,Relay_SolidState:MOC3032M,Package_DIP:DIP-6_W7.62mm,DIP*W7.62mm* SMDIP*W9.53mm* DIP*W10.16mm*,,,0.1W,SPST-NO (1 Form A),0.1A,250V AC,,,,60µs,60µs,,,Solid State (Triac),Through Hole,DIP-6,8.5 x 6.5 x 3.5mm,3.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.onsemi.com/pub/Collateral/MOC3043M-D.pdf,1,1,On Semiconductor,MOC3032M,MOC30xx,,,,,,,,,,,Relays,Solid State Relays,,,,,,,,,,,,1,,Opto-Triac Zero Cross,,2024-01-15,,2024-01-15,1,,
